"alpha_iv","mu_alpha","mu_att","mu_statquo","mu_cost","beta_imr","a1","b1","b2","c1","c2","c3","d1","d2","d3","d4","logLike"
5,0,3,0,-3,-1.7,1,0.7,0.3,0.7,1,0,1,0,0,1,-3050.18958178049
5,0,3,0,-3,-1.7,1,0.7,0.3,0.7,1,0,1,0,0,1,-3050.18958178049
-10.4737863158516,1.7682723228063,7.61200266727246,-2.0860401855316,-2.21039534456213,1.13642173599219,16.4636199476954,0.944683105847798,1.27137057309737,0.482845698064193,-0.91558268852532,-0.00185409589903429,-0.483955675212201,-1.13397640234325,-0.00351672497345135,-0.711822987999767,-2718.86623122647
29.8698973045851,2.59297549053766,-4.17128705506786,12.044678306167,-70.9078703931546,-9.23484234682616,108.231674820745,20.9513834427581,11.2064395607394,-24.7322446652481,-12.3924409366242,-0.136854694292409,-72.6349897956824,-29.1201386067342,-0.184707257234115,-12.8776946909248,-2691.84253778379
32.6959687490611,5.01580352837957,1.83905100214848,9.57330625696471,-69.2592821377812,-7.41815396517274,107.651005376683,21.7130629427221,12.5339809630544,-24.7994897684382,-15.028164183374,-0.155312293672911,-74.372369319326,-30.6239747509619,-0.196401006906125,-13.2131793033163,-2620.03333163151
52.8164234165008,20.841609644808,46.4951067425962,-8.43641801402079,-57.7195226768436,5.52193934801242,102.396258729297,24.3346750693525,21.2068739877886,-20.5825462313441,-33.0060135952751,-0.281193189387987,-83.9860596886453,-40.391202973855,-0.274073599784589,-15.1305377177193,-2321.7058930333
62.3954629874541,25.7763519090496,69.1921129183517,-17.3064083583426,-52.6640740377972,11.6554514598183,99.7381741871825,24.2848497876652,24.528792506371,-16.1884544414847,-40.4620710440484,-0.332424339813523,-87.3986194210342,-44.1052866130494,-0.304631699939968,-15.7295200516752,-2261.03925892089
71.7539495716272,27.1280624565225,92.3169743504108,-26.0378132306565,-48.5094678259403,17.4339959147409,97.7448850741145,23.2650181947509,26.8462408968582,-10.0175686410223,-46.3351083334885,-0.374748903835791,-89.9409774053879,-46.6867881243071,-0.328792460635946,-15.963829986018,-2221.35871819978
81.3883119739692,24.2388231586828,117.152727703334,-34.9951787484295,-45.4555529910148,23.0057251346732,96.7427020330142,20.9860682971327,27.9296849298789,-1.24208564278025,-50.3483765995266,-0.409034439096009,-91.6101610797771,-47.8962233599759,-0.348362997548682,-15.7052835525704,-2181.21559930216
92.7266815380458,14.2538533183892,148.091741624126,-45.4388354298929,-44.0814295290951,28.875079044605,97.4063739860028,16.2569722304291,26.9371029881974,13.1980232039651,-51.5076263922162,-0.43110121722886,-92.0777752422334,-46.8126367294277,-0.358260857905999,-14.514436955713,-2127.46246959723
